model	num_negs	batch_size	learning_rate	num_epochs	hits_at_1	hits_at_3	hits_at_10	arithmetic_mean_rank	inverse_arithmetic_mean_rank
RotatE	16	512	0.001	200	0.03875379939209726	0.09042553191489362	0.23328267477203649	489.56610107421875	0.0020426250994205475
RotatE	16	512	0.0001	300	0.017477203647416412	0.03419452887537994	0.09498480243161095	426.71466064453125	0.0023434862960129976
RotatE	16	1024	0.001	200	0.03951367781155015	0.10258358662613981	0.24164133738601823	404.9802551269531	0.0024692562874406576
RotatE	16	1024	0.0001	300	0.0121580547112462	0.03419452887537994	0.08966565349544073	424.3616943359375	0.0023564803414046764
RotatE	32	32	0.001	200	0.011398176291793313	0.028875379939209727	0.06534954407294832	784.88525390625	0.0012740716338157654
RotatE	32	32	0.0001	300	0.028875379939209727	0.067629179331307	0.1580547112462006	676.9639282226562	0.0014771835412830114
RotatE	32	64	0.001	200	0.019756838905775075	0.04179331306990881	0.09650455927051672	666.2051391601562	0.0015010391362011433
RotatE	32	64	0.0001	300	0.03571428571428571	0.10714285714285714	0.2378419452887538	514.7617797851562	0.001942646224051714
RotatE	32	128	0.001	200	0.025835866261398176	0.044832826747720364	0.09878419452887538	625.5687866210938	0.0015985452337190509
RotatE	32	128	0.0001	300	0.0425531914893617	0.10790273556231003	0.23632218844984804	397.3753662109375	0.002516512293368578
RotatE	32	256	0.001	200	0.03343465045592705	0.07142857142857142	0.14513677811550152	681.2017211914062	0.0014679939486086369
RotatE	32	256	0.0001	300	0.03343465045592705	0.06534954407294832	0.16945288753799392	396.9354248046875	0.0025193013716489077
RotatE	32	512	0.001	200	0.037993920972644375	0.10182370820668693	0.2317629179331307	506.9483337402344	0.0019725875463336706
RotatE	32	512	0.0001	300	0.017477203647416412	0.03419452887537994	0.09270516717325228	423.9414978027344	0.002358816098421812
RotatE	32	1024	0.001	200	0.04027355623100304	0.11474164133738601	0.24012158054711247	413.4901123046875	0.0024184375070035458
RotatE	32	1024	0.0001	300	0.010638297872340425	0.034954407294832825	0.08814589665653495	424.3149719238281	0.0023567399475723505
RotatE	64	32	0.001	200	0.009878419452887538	0.03115501519756839	0.07142857142857142	748.4107055664062	0.0013361647725105286
RotatE	64	32	0.0001	300	0.029635258358662615	0.06003039513677812	0.14361702127659576	734.4521484375	0.0013615591451525688
RotatE	64	64	0.001	200	0.015197568389057751	0.03343465045592705	0.08130699088145897	647.9453125	0.0015433401567861438
RotatE	64	64	0.0001	300	0.041033434650455926	0.0972644376899696	0.22872340425531915	541.6679077148438	0.0018461495637893677
RotatE	64	128	0.001	200	0.018996960486322188	0.04559270516717325	0.10030395136778116	680.7321166992188	0.0014690066454932094
RotatE	64	128	0.0001	300	0.04179331306990881	0.10790273556231003	0.23404255319148937	400.9122314453125	0.002494311425834894
RotatE	64	256	0.001	200	0.03267477203647416	0.06610942249240122	0.1474164133738602	722.4414672851562	0.0013841951731592417
RotatE	64	256	0.0001	300	0.03267477203647416	0.06382978723404255	0.17477203647416414	396.2427673339844	0.0025237053632736206
RotatE	64	512	0.001	200	0.04027355623100304	0.09042553191489362	0.22720364741641338	521.83740234375	0.0019163057440891862
RotatE	64	512	0.0001	300	0.017477203647416412	0.0364741641337386	0.09346504559270517	421.66070556640625	0.0023715749848634005
RotatE	64	1024	0.001	200	0.041033434650455926	0.11246200607902736	0.23632218844984804	414.50872802734375	0.0024124945048242807
RotatE	64	1024	0.0001	300	0.011398176291793313	0.031914893617021274	0.08814589665653495	422.37841796875	0.0023675451520830393
RotatE	128	32	0.001	200	0.015197568389057751	0.030395136778115502	0.06914893617021277	751.2184448242188	0.0013311706716194749
RotatE	128	32	0.0001	300	0.0243161094224924	0.05167173252279635	0.11018237082066869	730.7366943359375	0.0013684820150956511
RotatE	128	64	0.001	200	0.0121580547112462	0.02735562310030395	0.07218844984802432	589.4825439453125	0.0016964030219241977
RotatE	128	64	0.0001	300	0.034954407294832825	0.09574468085106383	0.2188449848024316	558.2116088867188	0.001791435293853283
RotatE	128	128	0.001	200	0.018996960486322188	0.0425531914893617	0.09498480243161095	721.7556762695312	0.0013855104334652424
RotatE	128	128	0.0001	300	0.044832826747720364	0.1033434650455927	0.2317629179331307	398.9756774902344	0.0025064183864742517
